ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_DAY_AGG,CTY_SCR_WEEK_AGG,CTY_SCR_MONTH_AGG,CTY_SCR_QUARTER_AGG
2019-04-08 00:00:00,N,1.1761685,1.1062569,1.1344339,1.4084686
2018-01-12 00:00:00,N,1.0086499,1.2370587,1.2827920,1.1735972
2017-10-04 00:00:00,N,1.1679754,1.1454497,1.1122127,1.1555996
2017-01-23 00:00:00,N,1.1930491,1.1960011,1.5526665,1.2432439
2016-09-05 00:00:00,N,1.1477608,1.2465743,1.2785199,1.3150103
2017-11-30 00:00:00,N,1.1201510,1.3052804,1.2149672,1.1766418
2018-11-19 00:00:00,N,1.1702752,.9815440,1.1187090,1.1841868
2017-03-21 00:00:00,N,1.0739790,1.1663906,1.3877102,1.4057691
2016-11-01 00:00:00,N,1.0313911,1.2859254,1.2006450,1.2367733
2018-01-26 00:00:00,N,1.0749965,1.2870169,1.1963114,1.1497572
2017-05-17 00:00:00,N,1.6044739,1.1328128,1.1061826,1.2122099
2019-01-15 00:00:00,N,1.1258657,1.1922433,1.1813688,1.2224342
2016-12-28 00:00:00,N,1.2043809,1.1109403,1.2897931,1.2262517
2016-04-18 00:00:00,N,1.2334824,1.6202371,1.4021687,1.4752774
2017-07-13 00:00:00,N,1.2672896,1.1808401,1.1286606,1.1326936
2017-02-23 00:00:00,N,1.1892292,1.3126755,1.3833456,1.3595485
2018-12-03 00:00:00,N,.9728194,1.0165380,1.7923664,1.1722866
2016-06-14 00:00:00,N,1.1732007,1.2971514,1.2779445,1.3662056
2017-09-08 00:00:00,N,1.2226038,1.3704923,1.1882668,1.1721387
2018-07-16 00:00:00,N,1.0256003,1.0782906,1.2124598,1.2180822
2017-04-21 00:00:00,N,1.2566809,1.1997431,1.6589879,1.4105991
2016-08-10 00:00:00,N,1.0669323,1.1593924,1.1448020,1.3071110
2019-01-29 00:00:00,N,1.1558981,1.1462713,1.2841483,1.2323655
2018-09-11 00:00:00,N,1.1029657,1.2935203,1.2580834,1.2483791
2016-10-06 00:00:00,N,1.0283981,1.1129328,1.2436865,1.3163225
2019-03-27 00:00:00,N,1.0569523,1.2854272,1.6110979,1.3152713
2016-05-19 00:00:00,N,1.0629225,1.2544782,1.5763493,1.5380806
2018-01-17 00:00:00,N,1.0831225,1.1139554,1.1457863,1.1430913
2017-05-08 00:00:00,N,1.0242176,1.1994924,1.1369827,1.3091793
2018-08-02 00:00:00,N,1.1756687,1.3047608,1.2135810,1.1973622
2016-07-15 00:00:00,N,1.2017367,1.2648472,1.2704922,1.2589052
2018-03-15 00:00:00,N,1.1979455,1.6039538,1.5582043,1.2047929
2018-09-28 00:00:00,N,1.0847914,1.2996499,1.2341393,1.2128681
2018-05-11 00:00:00,N,.9821979,1.0608110,1.2497907,1.2039461
2016-02-26 00:00:00,N,1.2250867,1.3589448,1.4269755,1.3164989
2017-05-22 00:00:00,N,.9962108,1.0588092,1.1072860,1.2290522
2017-01-02 00:00:00,N,1.2885223,1.3119520,1.2693128,1.2123272
2018-03-29 00:00:00,N,1.0957082,1.1696632,1.6579579,1.2521128
2019-03-18 00:00:00,N,1.0754795,1.0778523,1.6882003,1.2874160
2017-07-18 00:00:00,N,1.1722380,1.2726767,1.1340163,1.1377172
2018-05-25 00:00:00,N,1.1397980,1.3124856,1.1996234,1.2353038
2017-02-28 00:00:00,N,1.1054851,1.1452578,1.2822591,1.3295343
2017-09-13 00:00:00,N,1.1364217,1.1443128,1.1795599,1.1611650
2017-04-26 00:00:00,N,1.1054937,1.1694057,1.2576504,1.3474143
2016-08-15 00:00:00,N,1.1780274,1.3440905,1.6912139,1.2923817
2017-11-09 00:00:00,N,1.1053190,1.3174829,1.2125904,1.1588321
2016-03-28 00:00:00,N,1.0856864,1.1742762,1.2615093,1.4152073
2017-06-22 00:00:00,N,1.1562289,1.0828974,1.2471640,1.1899859
2016-10-11 00:00:00,N,1.3290144,1.1008678,1.2002473,1.2894811
2019-04-01 00:00:00,N,1.0513752,1.1266741,1.6906255,1.3553909
2018-01-05 00:00:00,N,1.2551710,1.1025378,1.1576824,1.1762351
2016-05-24 00:00:00,N,1.2057845,1.3352291,1.4180807,1.5467959
2018-11-12 00:00:00,N,1.0452095,1.4156467,1.4771599,1.1809007
2017-08-18 00:00:00,N,1.0203399,1.1215464,1.2724663,1.1745738
2016-12-07 00:00:00,N,1.1064888,1.2007023,1.2796806,1.2149910
2019-01-08 00:00:00,N,1.1929813,1.2451621,1.2672577,1.1971544
2017-02-02 00:00:00,N,1.1814533,1.1084982,1.5645871,1.2999045
2016-04-11 00:00:00,N,1.1671563,1.2576565,1.4334598,1.4280276
2019-03-06 00:00:00,N,29.2275734,1.3099876,1.3954474,1.2772884
2018-06-25 00:00:00,N,.9813409,1.0647771,1.1944242,1.1852868
2017-03-31 00:00:00,N,1.0854538,1.0782248,1.8016369,1.4743999
2018-02-05 00:00:00,N,1.1457679,1.3972900,1.2692633,1.1905359
2016-06-07 00:00:00,N,1.2916369,1.2145290,1.3056662,1.3954319
2018-08-21 00:00:00,N,1.2705570,1.3319601,1.2648750,1.2300652
2016-08-03 00:00:00,N,1.0916697,1.2038841,1.8279159,1.3258518
2018-04-03 00:00:00,N,1.1310368,1.0555981,1.2770472,1.2147990
2018-10-17 00:00:00,N,1.0165561,1.0364246,1.0539593,1.1498859
2017-02-16 00:00:00,N,1.1202218,1.4359225,1.3860344,1.3592367
2016-09-29 00:00:00,N,1.0784757,1.2720881,1.2998279,1.3494937
2018-05-30 00:00:00,N,1.0385772,1.5822149,1.2244010,1.2309331
2018-12-13 00:00:00,N,1.0301577,1.1101404,1.1480680,1.1980012
2016-01-19 00:00:00,N,1.6669196,1.4843217,1.5543412,1.4523310
2017-04-14 00:00:00,N,1.0627072,1.0981859,1.1490701,1.5003347
2016-11-25 00:00:00,N,1.2319137,1.2269369,1.1996680,1.2176211
2018-02-19 00:00:00,N,1.0828921,1.2602630,1.2885138,1.1587462
2016-03-16 00:00:00,N,1.1994878,1.1380799,2.0295908,1.4047459
2019-02-08 00:00:00,N,1.0118428,2.4417807,1.3072884,1.2173218
2018-04-17 00:00:00,N,1.1850916,1.1652197,1.1716343,1.2547928
2016-05-12 00:00:00,N,1.1161260,1.2128917,1.7008389,1.4351950
2018-06-13 00:00:00,N,1.0403037,1.0596442,1.2024075,1.1870947
2016-07-08 00:00:00,N,1.0543783,1.2132807,1.2851799,1.2845465
2017-10-02 00:00:00,N,1.1257665,1.1031799,1.1459524,1.1599772
2018-08-09 00:00:00,N,1.1404611,1.1241836,1.2733371,1.2145381
2016-02-19 00:00:00,N,1.2718154,1.5256052,1.5836483,1.3134489
2017-05-15 00:00:00,N,1.0679915,1.1179329,1.1019338,1.2325446
2017-11-28 00:00:00,N,1.0446110,1.1715448,1.2122487,1.1880082
2018-10-05 00:00:00,N,1.0759349,1.0512695,1.1799565,1.2444291
2017-07-11 00:00:00,N,1.1842812,1.0845563,1.1170046,1.1290339
2018-01-24 00:00:00,N,1.1987582,1.2017003,1.1558668,1.1542907
2017-09-06 00:00:00,N,1.0398039,1.5568796,1.1999123,1.1723168
2016-12-26 00:00:00,N,1.2496394,1.2234445,1.3107331,1.2208135
2018-03-22 00:00:00,N,1.0113678,1.2418149,1.6149301,1.2255595
2016-03-04 00:00:00,N,1.2134252,1.1379892,1.2967970,1.2960779
2017-11-02 00:00:00,N,1.2130751,1.2110601,1.2562677,1.1632801
2017-02-21 00:00:00,N,1.3100119,1.2638947,1.3950669,1.3876623
2018-05-18 00:00:00,N,1.1555099,1.2680964,1.1984879,1.2112621
2019-03-25 00:00:00,N,1.1429313,1.3470344,1.5830079,1.3160176
2017-12-29 00:00:00,N,1.0957294,1.2077047,1.1447905,1.1703811
2017-04-19 00:00:00,N,1.1254305,1.1634807,1.6533753,1.4084200
2016-08-22 00:00:00,N,1.1106093,1.1434474,1.9993338,1.3595290
2017-03-07 00:00:00,N,1.1704123,1.2775552,1.6111238,1.3778262
2018-11-05 00:00:00,N,1.0218121,1.1022088,1.0967898,1.1658720
2018-06-18 00:00:00,N,1.2273955,1.6540817,1.9284495,1.7343750
2016-10-18 00:00:00,N,1.2427179,1.3051405,1.2375009,1.2883477
2017-05-03 00:00:00,N,1.1051761,1.2304498,1.1729380,1.3318997
2019-01-01 00:00:00,N,1.1481293,1.3775501,1.2677606,1.2855952
2016-12-14 00:00:00,N,1.0737828,1.1605535,1.3950776,1.2103929
2016-04-04 00:00:00,N,1.1170032,1.2135338,1.4782640,1.3872855
2019-02-27 00:00:00,N,1.0276873,1.6287581,1.3747884,1.2762527
2017-06-29 00:00:00,N,1.0357729,1.0539422,1.3483065,1.1813225
2017-02-09 00:00:00,N,1.0059252,1.4110431,1.3395897,1.3045761
2016-05-31 00:00:00,N,1.0813603,1.2208647,1.7728758,1.5458589
2017-08-25 00:00:00,N,1.0052555,1.2234270,1.2725084,1.1714316
2018-07-02 00:00:00,N,.9613411,1.1505900,1.2917659,1.2083621
2017-04-07 00:00:00,N,1.1461501,1.2292132,1.7395585,1.4624354
2016-07-27 00:00:00,N,1.2452930,1.1344831,1.9785600,1.2824311
2019-04-12 00:00:00,Y,.9811902,1.2758908,1.6799421,1.3568186
2018-08-28 00:00:00,N,1.1147342,1.4244538,1.3828209,1.2141606
2016-03-09 00:00:00,N,1.2953078,1.3197164,1.3925036,1.3414896
2016-09-22 00:00:00,N,1.0674650,1.2627065,1.2762376,1.3744602
2019-03-13 00:00:00,N,1.1203970,1.3143538,1.4794529,1.2985786
2018-10-24 00:00:00,N,1.0215474,1.1023913,1.0749567,1.1594810
2016-05-05 00:00:00,N,1.1552725,1.2417257,1.1413401,1.4854316
2016-11-18 00:00:00,N,1.0564277,1.2879368,1.1731474,1.1987452
2018-02-12 00:00:00,N,1.0702233,1.6741447,1.2945294,1.1850972
2016-01-26 00:00:00,N,1.2680146,1.2991232,1.4061358,1.3353990
2018-12-20 00:00:00,N,.9531661,1.1713520,1.2071908,1.2221966
2017-09-25 00:00:00,N,1.1128198,1.0491797,1.1909189,1.1541910
2018-04-10 00:00:00,N,1.0505090,1.1923199,1.1689473,1.1919835
2016-03-23 00:00:00,N,1.0825485,1.2050511,1.1903048,1.4051516
2019-02-15 00:00:00,N,.9274174,.9991255,1.3647132,1.2068730
2017-11-21 00:00:00,N,1.0955404,1.1931163,1.2311724,1.1913271
2018-06-06 00:00:00,N,1.1610250,1.1679837,1.1732758,1.2045057
2016-10-03 00:00:00,N,1.0541358,1.3688495,1.2644002,1.3273182
2017-12-28 00:00:00,N,1.2513872,1.1648222,1.1572055,1.1729781
2018-07-13 00:00:00,N,29.3469649,1.2263275,1.2293225,1.2249198
2017-04-18 00:00:00,N,1.0771210,1.0305620,1.1049156,1.4735403
2016-11-29 00:00:00,N,1.1859986,1.2181709,1.2458062,1.2488544
2018-02-23 00:00:00,N,1.0572645,1.1711070,1.2400944,1.1670280
2017-06-14 00:00:00,N,.9998751,1.0392743,1.7294337,1.2263905
2017-01-25 00:00:00,N,1.1002034,1.3717398,1.5549094,1.2600352
2017-08-10 00:00:00,N,1.1169435,1.4833442,1.2954470,1.1843197
2017-03-23 00:00:00,N,1.0536153,1.1370963,1.6485816,1.4097619
2017-10-06 00:00:00,N,1.0837962,1.1763856,1.1295095,1.1666812
2018-12-31 00:00:00,N,.9363724,1.4340693,1.2321153,1.2828065
2016-12-13 00:00:00,N,1.2294521,1.0833124,1.7370451,1.2254598
2018-08-13 00:00:00,N,1.0035970,1.0963159,1.2825626,1.2161171
2019-02-26 00:00:00,N,1.1851236,1.4948532,1.3584976,1.2745871
2018-10-09 00:00:00,N,1.3739688,1.0243021,1.0931665,1.1947145
2017-02-08 00:00:00,N,1.0831592,1.4529518,1.3565088,1.3103211
2016-05-30 00:00:00,N,1.1083322,1.2676458,1.7675464,1.5432389
2018-12-05 00:00:00,N,1.0335021,1.1327406,2.2827532,1.1686766
2017-04-06 00:00:00,N,1.1159757,1.2361863,1.7539848,1.4655411
2016-07-26 00:00:00,N,1.0837230,1.1404434,1.9653406,1.2768167
2018-03-26 00:00:00,N,1.0463768,1.0854519,1.1180259,1.2626323
2016-03-08 00:00:00,N,1.2052020,1.3034896,1.3835982,1.3183332
2017-06-02 00:00:00,N,1.0331569,1.1841355,1.1495003,1.2122444
2019-01-31 00:00:00,N,1.0125485,1.1992750,1.2932697,1.2313476
2016-09-21 00:00:00,N,1.1170467,1.2710235,1.2385288,1.3747245
2016-05-04 00:00:00,N,1.0621620,1.2058057,1.1465175,1.4283404
2019-03-29 00:00:00,N,1.1681716,1.2679444,1.6514791,1.3500788
2016-11-17 00:00:00,N,1.0837389,1.2993903,1.1855322,1.1995835
2016-06-30 00:00:00,N,1.1702120,1.2505430,1.1814739,1.2813257
2017-01-13 00:00:00,N,1.0370931,1.4217697,1.3395116,1.2459197
2018-04-09 00:00:00,N,1.0564085,1.1406046,1.2333486,1.2114028
2016-08-26 00:00:00,N,1.1866967,1.1798720,1.3823366,1.3005073
2017-11-20 00:00:00,N,1.1772171,1.3085634,1.2196775,1.1795558
2019-02-14 00:00:00,N,1.0713147,1.0161746,1.3976894,1.2115548
2018-06-05 00:00:00,N,1.1084682,1.1692206,1.2032251,1.2078388
2018-01-16 00:00:00,N,1.2514614,1.1702325,1.1699376,1.1619085
2018-08-01 00:00:00,N,1.1849008,1.2316830,1.2156579,1.1955149
2016-02-11 00:00:00,N,1.2643268,1.5763657,1.4743351,1.3237742
2018-03-14 00:00:00,N,1.1781754,1.0724825,1.2933110,1.2051523
2018-09-27 00:00:00,N,1.1015033,1.3112006,1.2355716,1.2141922
2017-07-03 00:00:00,N,1.0813183,1.2016486,1.2715542,1.1716119
2018-05-10 00:00:00,N,1.1001323,1.0530348,1.2092205,1.2034982
2017-02-13 00:00:00,N,1.0711054,1.4960492,1.4119104,1.3309299
2018-11-23 00:00:00,N,1.5844017,1.1811640,1.9951771,1.1776330
2017-08-29 00:00:00,N,1.0735091,1.8915304,1.2169930,1.1720487
2017-04-11 00:00:00,N,1.0673809,1.2397948,1.1960027,1.4953281
2018-07-06 00:00:00,N,1.0020649,1.1008261,1.2574953,1.2031252
2016-02-25 00:00:00,N,1.1019436,1.3525997,1.4205469,1.3181241
2017-10-25 00:00:00,N,1.0375709,1.2383486,1.3188654,1.1884403
2016-04-22 00:00:00,N,1.2201341,1.2974853,1.3985164,1.4596252
2017-12-21 00:00:00,N,1.0924561,1.2996964,1.1529737,1.1723954
2017-02-27 00:00:00,N,1.0383517,1.2139031,1.3049740,1.3383469
2018-02-16 00:00:00,N,1.1254625,1.4979863,1.3281065,1.1641130
2018-12-24 00:00:00,N,1.0337240,1.3354139,1.2470698,1.2387863
2017-04-25 00:00:00,N,1.2452550,1.2159922,1.2586087,1.3524843
2017-06-21 00:00:00,N,1.1265656,1.0962881,1.2445329,1.1895873
